FYEAR,Bankruptcy Status,CUSTOMERID,Ratio1,Ratio2,Ratio3,Ratio4,Ratio5,Ratio6,Ratio7,Ratio8,Ratio9,Ratio10
1999,0,36020,0.307139483,0.887005715,1.647680762,-0.199157597,1.092963959,-0.313288673,-0.196793318,1.206762812,0.282470912,0.158896251
1999,0,36110,0.760736496,0.592493372,0.453002755,-0.369890143,0.186153945,0.039619071,0.327497319,0.428418062,1.106965205,0.793442755
1999,0,37520,-0.513596083,0.337614773,0.299014546,-0.029079962,-0.432604675,0.82999324,-0.707786127,0.476153279,2.179175451,2.4845845
1994,1,78110,-0.466129332,0.370746659,0.496066653,-0.373428966,-0.267423988,0.977798881,-0.610975074,0.456809847,0.15195105,0.047788514
1999,0,00079X10,2.023422271,0.214876406,0.182594782,6.6953604,-1.148338079,-1.505889267,2.876476871,0.287374933,-0.986442053,0.791076735
1999,0,00086T10,0.907498517,0.386879734,0.477891386,-0.34715872,1.407989257,-0.483902305,0.070259441,0.52781095,0.502465945,-0.164648016
1999,0,88630,0.438145308,0.980612124,1.066970122,0.664317524,-0.074697329,-0.845530854,0.000106464,0.461060649,1.357504124,2.105166646
1999,0,00088U10,-1.086156313,-2.241779108,-2.064231759,0.498931755,-0.919495379,0.10610267,-0.875462329,-2.208174586,-1.187234181,0.000899815
1987,1,89310,-4.382767927,-2.241779108,-2.064231759,-0.407475803,0.585853193,5.110424207,-1.227033748,-2.208174586,-1.073644862,-1.308669845
1999,0,00089N10,0.469570906,0.325610419,0.997730929,-0.21048379,0.117501113,-0.331458472,-0.124313444,0.733277356,0.493847491,0.589623062
1999,0,90710,-0.300402422,0.553180057,0.246777428,-0.348660189,0.033607873,-0.212612287,-0.442578801,0.218924464,0.208682802,-0.10541647
1999,0,95510,-0.518823351,-0.264530113,0.279493816,-0.244917939,0.072414159,0.163959559,-0.669565039,0.139257948,-0.315598702,-0.234566364
1999,0,95710,0.30467047,0.68667538,0.638302343,-0.306270688,1.897217135,-0.097791558,-0.254030468,0.580003585,1.291080033,0.953790803
1999,0,97310,0.615013361,0.20797633,0.226997107,-0.25160153,0.58070638,0.087014962,-0.258270951,0.217374932,0.953904077,1.017449084
1999,0,100410,-0.262230773,-2.241779108,-1.495916943,2.073545227,-0.345872181,-1.089083714,-0.326619575,-0.878729697,-1.247744027,-0.507020076
1999,0,00100T10,1.629597025,0.27166142,0.94067298,0.279768947,-0.812347363,-1.001289917,1.223102194,0.775800107,-0.627868496,-0.038863245
1999,0,103110,-0.469896629,0.234746953,0.321096624,-0.395818384,0.094078755,1.047824194,-0.632700958,-0.070852526,0.938679161,0.591963836
1999,0,105810,0.851574717,-0.670371397,-0.640203167,-0.406093489,0.999099176,0.30307069,0.514454311,-0.92700416,-0.301290347,-1.311960758
1999,0,108410,0.291020231,0.431432466,0.05352931,-0.394124134,-0.177206057,0.326538798,-0.217285189,0.081645021,1.446737025,1.132722243
1999,0,120410,-0.854134044,0.285965665,0.339290223,-0.384075541,-0.765176121,0.415023411,-0.930939098,0.384991953,1.123739708,1.19819773
1999,0,130310,-0.134876203,0.241647852,0.538176032,-0.383035892,0.460033236,-0.165513644,-0.549243646,0.518065195,0.015389424,-0.667820776
1999,0,00130H10,-0.744706367,0.122801147,0.108463764,-0.371456696,-1.203415456,0.889750446,-0.774561621,0.187160985,1.565121443,2.446659816
1983,1,132010,-1.439989122,-0.418259051,-1.586942623,-0.330460098,0.005709132,0.625996529,-1.063494695,-1.693321497,-0.068022506,-0.109728289
1990,1,142310,-3.327218048,-1.515459779,-2.064231759,-0.417673192,-0.000187777,2.799707849,-1.070144845,-2.208174586,-0.24861514,-0.935588976
